hood_id,crime,year,rate
154,theftover,2016,39.50617218
154,theftover,2017,43.86820221
154,theftover,2018,52.84650421
154,theftover,2019,33.23836517
154,theftover,2020,66.23143005
154,theftover,2021,85.29592896
154,theftover,2022,89.39073181
154,theftover,2023,106.9618225
153,assault,2014,296.088501
153,assault,2015,295.42099
153,assault,2016,301.3948364
153,assault,2017,335.8694763
153,assault,2018,495.3809204
153,assault,2019,301.8174744
153,assault,2020,278.2991333
153,assault,2021,360.2676392
153,assault,2022,234.1772156
153,assault,2023,309.6166992
153,autotheft,2014,70.12622833
153,autotheft,2015,29.54209709
153,autotheft,2016,42.05509186
153,autotheft,2017,6.854479313
153,autotheft,2018,53.55469131
153,autotheft,2019,98.41873932
153,autotheft,2020,213.5784149
153,autotheft,2021,218.7339172
153,autotheft,2022,120.2531662
153,autotheft,2023,154.8083496
153,biketheft,2014,23.37540817
153,biketheft,2015,59.08419418
153,biketheft,2016,119.1560974
153,biketheft,2017,150.7985535
153,biketheft,2018,40.16601944
153,biketheft,2019,85.29624176
153,biketheft,2020,239.4667053
153,biketheft,2021,128.6670074
153,biketheft,2022,179.5776828
153,biketheft,2023,55.73100662
153,breakenter,2014,85.70983124
153,breakenter,2015,66.46971893
153,breakenter,2016,49.06427383
153,breakenter,2017,75.39927673
153,breakenter,2018,87.02637482
153,breakenter,2019,85.29624176
153,breakenter,2020,84.13694763
153,breakenter,2021,109.3669586
153,breakenter,2022,50.63291168
153,breakenter,2023,117.6543427
153,homicide,2014,0
153,homicide,2015,0
153,homicide,2016,0
153,homicide,2017,0
153,homicide,2018,73.63770294
153,homicide,2019,0
153,homicide,2020,6.472073078
153,homicide,2021,0
153,homicide,2022,6.32911396
153,homicide,2023,NA
153,robbery,2014,31.16721153
153,robbery,2015,29.54209709
153,robbery,2016,21.02754593
153,robbery,2017,68.54479218
153,robbery,2018,73.63770294
153,robbery,2019,32.80624771
153,robbery,2020,58.24865723
153,robbery,2021,51.4668045
153,robbery,2022,25.31645584
153,robbery,2023,37.15400314
153,shooting,2014,7.791802883
153,shooting,2015,0
153,shooting,2016,0
153,shooting,2017,6.854479313
153,shooting,2018,0
153,shooting,2019,0
153,shooting,2020,6.472073078
153,shooting,2021,0
153,shooting,2022,0
153,shooting,2023,6.192333698
153,theftfrommv,2014,77.91802979
153,theftfrommv,2015,51.69866943
